,state,term,outcome,croscor,lagd
1,Alabama,covid,daily_vaccinations,-0.022487384,-14
2,Alabama,covid,daily_vaccinations,-0.06534739,-13
3,Alabama,covid,daily_vaccinations,0.089808476,-12
4,Alabama,covid,daily_vaccinations,0.007097598,-11
5,Alabama,covid,daily_vaccinations,0.130212005,-10
6,Alabama,covid,daily_vaccinations,0.058325273,-9
7,Alabama,covid,daily_vaccinations,-0.019245336,-8
8,Alabama,covid,daily_vaccinations,0.1102906,-7
9,Alabama,covid,daily_vaccinations,-0.131766178,-6
10,Alabama,covid,daily_vaccinations,0.056415278,-5
11,Alabama,covid,daily_vaccinations,-0.148051789,-4
12,Alabama,covid,daily_vaccinations,0.056927333,-3
13,Alabama,covid,daily_vaccinations,0.0493115,-2
14,Alabama,covid,daily_vaccinations,0.124247642,-1
15,Alabama,covid,daily_vaccinations,0.04092098,0
16,Alabama,covid,daily_vaccinations_per_million,-0.022947329,-14
17,Alabama,covid,daily_vaccinations_per_million,-0.065241021,-13
18,Alabama,covid,daily_vaccinations_per_million,0.089822129,-12
19,Alabama,covid,daily_vaccinations_per_million,0.007104951,-11
20,Alabama,covid,daily_vaccinations_per_million,0.12986797,-10
21,Alabama,covid,daily_vaccinations_per_million,0.058420684,-9
22,Alabama,covid,daily_vaccinations_per_million,-0.019152801,-8
23,Alabama,covid,daily_vaccinations_per_million,0.110174365,-7
24,Alabama,covid,daily_vaccinations_per_million,-0.131610038,-6
25,Alabama,covid,daily_vaccinations_per_million,0.056458819,-5
26,Alabama,covid,daily_vaccinations_per_million,-0.147945909,-4
27,Alabama,covid,daily_vaccinations_per_million,0.05666817,-3
28,Alabama,covid,daily_vaccinations_per_million,0.049045288,-2
29,Alabama,covid,daily_vaccinations_per_million,0.124530297,-1
30,Alabama,covid,daily_vaccinations_per_million,0.040601997,0
31,Alabama,mask,daily_vaccinations,-0.063207227,-14
32,Alabama,mask,daily_vaccinations,-0.015046037,-13
33,Alabama,mask,daily_vaccinations,-0.027982538,-12
34,Alabama,mask,daily_vaccinations,0.078154935,-11
35,Alabama,mask,daily_vaccinations,-0.08678074,-10
36,Alabama,mask,daily_vaccinations,0.088276051,-9
37,Alabama,mask,daily_vaccinations,0.011886906,-8
38,Alabama,mask,daily_vaccinations,0.035432832,-7
39,Alabama,mask,daily_vaccinations,0.022913484,-6
40,Alabama,mask,daily_vaccinations,0.058724121,-5
41,Alabama,mask,daily_vaccinations,-0.059820384,-4
42,Alabama,mask,daily_vaccinations,0.065089153,-3
43,Alabama,mask,daily_vaccinations,0.121859306,-2
44,Alabama,mask,daily_vaccinations,0.007573978,-1
45,Alabama,mask,daily_vaccinations,0.132329414,0
46,Alabama,mask,daily_vaccinations_per_million,-0.063190916,-14
47,Alabama,mask,daily_vaccinations_per_million,-0.015203618,-13
48,Alabama,mask,daily_vaccinations_per_million,-0.027773462,-12
49,Alabama,mask,daily_vaccinations_per_million,0.077976533,-11
50,Alabama,mask,daily_vaccinations_per_million,-0.08658754,-10
51,Alabama,mask,daily_vaccinations_per_million,0.088268404,-9
52,Alabama,mask,daily_vaccinations_per_million,0.011628761,-8
53,Alabama,mask,daily_vaccinations_per_million,0.035663136,-7
54,Alabama,mask,daily_vaccinations_per_million,0.022566695,-6
55,Alabama,mask,daily_vaccinations_per_million,0.05878463,-5
56,Alabama,mask,daily_vaccinations_per_million,-0.059764006,-4
57,Alabama,mask,daily_vaccinations_per_million,0.064838272,-3
58,Alabama,mask,daily_vaccinations_per_million,0.121899952,-2
59,Alabama,mask,daily_vaccinations_per_million,0.007617064,-1
60,Alabama,mask,daily_vaccinations_per_million,0.132333415,0
61,Alabama,qanon,daily_vaccinations,-0.008304835,-14
62,Alabama,qanon,daily_vaccinations,-0.138673047,-13
63,Alabama,qanon,daily_vaccinations,0.151478047,-12
64,Alabama,qanon,daily_vaccinations,-0.009815058,-11
65,Alabama,qanon,daily_vaccinations,-0.162351457,-10
66,Alabama,qanon,daily_vaccinations,0.118308534,-9
67,Alabama,qanon,daily_vaccinations,-0.002107591,-8
68,Alabama,qanon,daily_vaccinations,-0.11865965,-7
69,Alabama,qanon,daily_vaccinations,0.113176943,-6
70,Alabama,qanon,daily_vaccinations,-0.07050206,-5
71,Alabama,qanon,daily_vaccinations,0.033366374,-4
72,Alabama,qanon,daily_vaccinations,-0.106241221,-3
73,Alabama,qanon,daily_vaccinations,0.006743658,-2
74,Alabama,qanon,daily_vaccinations,-0.143329362,-1
75,Alabama,qanon,daily_vaccinations,0.081413019,0
76,Alabama,qanon,daily_vaccinations_per_million,-0.008247212,-14
77,Alabama,qanon,daily_vaccinations_per_million,-0.138872403,-13
78,Alabama,qanon,daily_vaccinations_per_million,0.151537427,-12
79,Alabama,qanon,daily_vaccinations_per_million,-0.009867201,-11
80,Alabama,qanon,daily_vaccinations_per_million,-0.162149878,-10
81,Alabama,qanon,daily_vaccinations_per_million,0.118438945,-9
82,Alabama,qanon,daily_vaccinations_per_million,-0.002348352,-8
83,Alabama,qanon,daily_vaccinations_per_million,-0.118519659,-7
84,Alabama,qanon,daily_vaccinations_per_million,0.113116036,-6
